American League Standings Grid,,,,,,,,,,,,,,,,
TEAMS,vs.,vs.,vs.,vs.,vs.,vs.,vs.,vs.,vs.,vs.,vs.,vs.,vs.,vs.,vs.,vs.
,BAL,BOS,CHW,CLE,DET,HOU,KC,LAA,MIN,NYY,OAK,SEA,TB,TEX,TOR,NL
BAL,--,09-oct,05-feb,03-mar,01-may,04-mar,04-mar,06-ene,03-abr,07-dic,03-abr,02-abr,09-oct,6-0,09-oct,12-ago
BOS,10-sep,--,02-abr,05-feb,05-ene,04-feb,03-abr,04-mar,03-abr,jun-13,05-ene,06-ene,07-dic,06-ene,mar-16,09-nov
CHW,02-may,04-feb,--,07-dic,12-jul,03-abr,09-oct,03-abr,09-oct,03-abr,05-feb,04-feb,04-feb,03-abr,02-abr,11-sep
CLE,03-mar,02-may,12-jul,--,10-sep,03-abr,12-jul,03-abr,13-jun,01-may,06-ene,01-jun,04-feb,05-ene,05-feb,12-ago
DET,05-ene,01-may,07-dic,09-oct,--,0-7,10-sep,03-mar,08-nov,01-may,02-may,01-jun,02-may,04-mar,02-may,11-sep
HOU,03-abr,02-abr,04-mar,04-mar,7-0,--,05-feb,13-jun,6-0,05-feb,12-jul,12-jul,05-ene,14-may,02-abr,12-ago
KC,03-abr,04-mar,10-sep,07-dic,09-oct,02-may,--,03-mar,07-dic,01-jun,03-mar,02-abr,03-abr,02-abr,02-may,jul-13
LAA,01-jun,03-abr,04-mar,04-mar,03-mar,jun-13,03-mar,--,04-feb,02-abr,12-jul,10-sep,02-may,09-oct,03-abr,jul-13
MIN,04-mar,04-mar,10-sep,jun-13,11-ago,0-6,12-jul,02-abr,--,02-may,05-ene,04-mar,04-feb,02-may,04-mar,08-dic
NYY,12-jul,13-jun,04-mar,05-ene,05-ene,02-may,06-ene,04-feb,05-feb,--,05-feb,02-abr,11-ago,04-mar,11-ago,10-oct
OAK,04-mar,01-may,02-may,01-jun,05-feb,07-dic,03-mar,07-dic,01-may,02-may,--,08-nov,03-abr,08-nov,03-mar,may-15
SEA,04-feb,01-jun,02-abr,06-ene,06-ene,07-dic,04-feb,09-oct,03-abr,04-feb,11-ago,--,02-may,14-may,05-feb,12-ago
TB,10-sep,12-jul,02-abr,02-abr,05-feb,01-may,04-mar,05-feb,02-abr,08-nov,04-mar,05-feb,--,04-mar,10-sep,12-ago
TEX,0-6,01-jun,04-mar,01-may,03-abr,may-14,04-feb,10-sep,05-feb,03-abr,11-ago,may-14,03-abr,--,02-abr,11-sep
TOR,10-sep,16-mar,04-feb,02-may,05-feb,04-feb,05-feb,04-mar,03-abr,08-nov,03-mar,02-may,09-oct,04-feb,--,13-jul
National League Standings Grid,,,,,,,,,,,,,,,,
TEAMS,vs.,vs.,vs.,vs.,vs.,vs.,vs.,vs.,vs.,vs.,vs.,vs.,vs.,vs.,vs.,vs.
,ARI,ATL,CHC,CIN,COL,LAD,MIA,MIL,NYM,PHI,PIT,SD,SF,STL,WSH,AL
ARI,--,02-abr,04-mar,03-abr,09-oct,may-14,05-ene,04-mar,02-abr,03-mar,04-mar,may-14,10-sep,02-may,04-mar,12-ago
ATL,04-feb,--,03-mar,04-mar,06-ene,02-abr,13-jun,03-mar,10-sep,11-ago,7-0,03-abr,04-mar,04-mar,14-may,13-jul
CHC,03-abr,03-mar,--,11-ago,03-abr,0-7,04-feb,10-sep,04-mar,6-0,10-sep,02-may,02-may,jun-13,04-feb,jun-14
CIN,04-mar,03-abr,08-nov,--,02-abr,0-7,04-mar,jun-13,01-may,01-jun,07-dic,0-6,04-feb,07-dic,03-abr,12-ago
COL,10-sep,01-jun,04-mar,04-feb,--,08-nov,02-abr,03-abr,02-may,02-may,03-mar,10-sep,may-14,02-abr,03-abr,09-nov
LAD,14-may,04-feb,7-0,7-0,11-ago,--,06-ene,04-mar,03-abr,03-abr,01-may,14-may,15-abr,04-feb,03-mar,15-may
MIA,01-may,jun-13,02-abr,03-abr,04-feb,01-jun,--,04-mar,jun-13,07-dic,04-mar,03-abr,03-abr,02-abr,15-abr,08-dic
MIL,03-abr,03-mar,09-oct,13-jun,04-mar,03-abr,03-abr,--,02-abr,02-abr,11-ago,03-abr,03-abr,09-oct,03-mar,15-may
NYM,04-feb,09-oct,03-abr,05-ene,05-feb,04-mar,13-jun,04-feb,--,14-may,06-ene,02-abr,04-mar,05-feb,14-may,09-nov
PHI,03-mar,08-nov,0-6,06-ene,05-feb,04-mar,12-jul,04-feb,may-14,--,06-ene,04-mar,01-may,04-mar,16-mar,09-nov
PIT,03-abr,0-7,09-oct,12-jul,03-mar,05-ene,03-abr,08-nov,01-jun,01-jun,--,02-abr,01-may,jun-13,04-mar,abr-16
SD,14-may,04-mar,05-feb,6-0,09-oct,may-14,04-mar,04-mar,04-feb,03-abr,04-feb,--,13-jun,02-abr,04-mar,08-dic
SF,09-oct,03-abr,05-feb,02-abr,14-may,abr-15,04-mar,04-mar,03-abr,05-ene,05-ene,jun-13,--,03-abr,04-feb,10-oct
STL,05-feb,03-abr,13-jun,12-jul,04-feb,02-abr,04-feb,10-sep,02-may,03-abr,13-jun,04-feb,04-mar,--,04-mar,10-oct
WSH,03-abr,may-14,02-abr,04-mar,04-mar,03-mar,abr-15,03-mar,may-14,mar-16,03-abr,03-abr,02-abr,03-abr,--,08-dic
